"調查年度",109,"放養面積","136.70(公頃)"
"魚種名稱","黃臘魚參","放養數量","16,127,114(尾、粒、隻)"
"所屬縣市","已完成調查魚塭口數",,,,,"魚塭面積(公頃)",,,,,"百分比(%)","放養量",,"養殖戶數",,,,,"養殖戶類別統計"
,"第一類(有水權)","第一類(無水權)","第二類","第三類","小計","第一類(有水權)","第一類(無水權)","第二類","第三類","小計",,"在池（尾、粒、隻）","新放養（尾、粒、隻）","第一類(有水權)","第一類(無水權)","第二類","第三類","小計","魚苗戶","養成戶"
"總　計","275","6","0","131","412","98.6765","1.7111","0","36.3144","136.7020","100.00","2,422,171","16,127,114","129","4","0","61","193","16","177"
"臺南市","106","0","0","26","132","51.9302","0","0","9.3799","61.3101","44.85","1,072,000","1,188,004","36","0","0","14","49","1","48"
"屏東縣","79","1","0","77","157","19.4446","0.3192","0","16.9427","36.7065","26.85","1,220,801","13,179,810","44","1","0","34","79","13","66"
"雲林縣","0","0","0","11","11","0","0","0","4.2308","4.2308","3.09","0","135,500","0","0","0","2","2","0","2"
"嘉義縣","24","5","0","3","32","8.8225","1.3919","0","1.1590","11.3734","8.32","0","297,500","12","3","0","2","17","0","17"
"彰化縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"高雄市","55","0","0","13","68","15.8552","0","0","4.4917","20.3469","14.88","129,370","1,237,300","33","0","0","8","41","2","39"
"宜蘭縣","11","0","0","1","12","2.6240","0","0","0.1103","2.7343","2.00","0","89,000","4","0","0","1","5","0","5"
"桃園市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"預定收獲統計(經營型態=成魚養成)"
"預定收獲月份","魚塭口數","魚塭面積(公頃)","在池放養量(尾、粒、隻)","新放養量(尾、粒、隻)","預定收獲重量(公噸)"
"今年3月","0","0","0","0","0"
"今年4月","0","0","0","0","0"
"今年5月","0","0","0","0","0"
"今年6月","0","0","0","0","0"
"今年7月","1","0.2332","0","21,000","10"
"今年8月","5","1.1829","0","152,600","67"
"今年9月","4","0.9349","0","32,000","13"
"今年10月","17","9.6105","0","188,800","96"
"今年11月","7","1.8865","0","128,000","54"
"今年12月","84","35.6569","0","957,000","534"
"明年1月","13","4.9216","0","273,200","120"
"明年2月","47","12.8491","0","703,300","296"
"明年3月","13","4.6948","0","232,700","96"
"水源別統計"
"所屬縣市","魚塭口數",,,"魚塭面積(公頃)",,,"在池放養量(尾、粒、隻)",,,"新放養量(尾、粒、隻)",,,"預定收獲重量(公噸)"
,"無填寫","淡水","鹹水","無填寫","淡水","鹹水","無填寫","淡水","鹹水","無填寫","淡水","鹹水","無填寫","淡水","鹹水"
"總　計","0","13","399","0","5.1355","131.5665","0","0","2,422,171","0","154,000","15,973,114","0","33","2,152"
"臺南市","0","1","131","0","0.4084","60.9017","0","0","1,072,000","0","10,000","1,178,004","0","8","610"
"屏東縣","0","0","157","0","0","36.7065","0","0","1,220,801","0","0","13,179,810","0","0","892"
"雲林縣","0","10","1","0","4.1074","0.1234","0","0","0","0","134,000","1,500","0","23","0"
"嘉義縣","0","2","30","0","0.6197","10.7537","0","0","0","0","10,000","287,500","0","2","120"
"彰化縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"高雄市","0","0","68","0","0","20.3469","0","0","129,370","0","0","1,237,300","0","0","474"
"宜蘭縣","0","0","12","0","0","2.7343","0","0","0","0","0","89,000","0","0","56"
"桃園市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"經營型態統計─口數、面積(公頃)"
"所屬縣市","無填寫",,"魚苗繁殖",,"種魚繁殖",,"中間養殖",,"成魚養成"
,"魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)"
"總　計","0","0","20","2.9237","11","1.0665","8","1.8753","373","130.8365"
"臺南市","0","0","2","0.5505","0","0","1","0.4385","129","60.3211"
"屏東縣","0","0","17","2.1641","9","0.7145","4","0.9915","127","32.8364"
"雲林縣","0","0","0","0","0","0","0","0","11","4.2308"
"嘉義縣","0","0","0","0","0","0","0","0","32","11.3734"
"彰化縣","0","0","0","0","0","0","0","0","0","0"
"高雄市","0","0","1","0.2091","2","0.3520","1","0.0800","64","19.7058"
"宜蘭縣","0","0","0","0","0","0","2","0.3653","10","2.3690"
"桃園市","0","0","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0"
"經營型態統計─放養量(尾、粒、隻)"
"所屬縣市","無填寫",,"魚苗繁殖",,"種魚繁殖",,"中間養殖",,"成魚養成"
,"在池","新放養","在池","新放養","在池","新放養","在池","新放養","在池","新放養"
"總　計","0","0","0","11,065,014","63,700","3,000","1,015,000","452,000","1,343,471","4,607,100"
"臺南市","0","0","0","4","0","0","1,000,000","0","72,000","1,188,000"
"屏東縣","0","0","0","11,050,010","63,700","0","15,000","340,000","1,142,101","1,789,800"
"雲林縣","0","0","0","0","0","0","0","0","0","135,500"
"嘉義縣","0","0","0","0","0","0","0","0","0","297,500"
"彰化縣","0","0","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","15,000","0","3,000","0","100,000","129,370","1,119,300"
"宜蘭縣","0","0","0","0","0","0","0","12,000","0","77,000"
"桃園市","0","0","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0"
