"調查年度",102,"放養面積","755.64(公頃)"
"魚種名稱","烏魚","放養數量","4,550,350(尾、粒、隻)"
"所屬縣市","已完成調查魚塭口數",,,,,"魚塭面積(公頃)",,,,,"百分比(%)","放養量",,"養殖戶數",,,,,"養殖戶類別統計"
,"第一類(有水權)","第一類(無水權)","第二類","第三類","小計","第一類(有水權)","第一類(無水權)","第二類","第三類","小計",,"在池（尾、粒、隻）","新放養（尾、粒、隻）","第一類(有水權)","第一類(無水權)","第二類","第三類","小計","魚苗戶","養成戶"
"總　計","526","265","1","923","1,715","267.1434","115.6265","0.3460","372.5258","755.6417","100.00","5,706,900","4,550,350","221","137","1","431","766","6","760"
"臺南市","176","1","0","117","294","115.1272","0.5009","0","57.6335","173.2616","22.93","1,341,000","2,668,000","67","1","0","52","119","4","115"
"屏東縣","0","1","0","36","37","0","0.4009","0","14.3792","14.7801","1.96","231,600","50,000","0","1","0","13","14","1","13"
"雲林縣","13","79","0","477","569","5.0649","32.4691","0","173.4722","211.0062","27.92","1,297,300","468,600","8","37","0","224","266","0","266"
"嘉義縣","293","127","1","152","573","133.4328","58.0267","0.3460","62.2356","254.0411","33.62","1,655,800","1,134,650","128","72","1","76","259","1","258"
"彰化縣","10","18","0","63","91","2.1816","3.8511","0","25.8091","31.8418","4.21","359,700","3,000","2","8","0","26","35","0","35"
"高雄市","32","26","0","28","86","10.5924","12.0237","0","14.9062","37.5223","4.97","428,000","180,100","14","13","0","13","39","0","39"
"宜蘭縣","1","0","0","0","1","0.5381","0","0","0","0.5381","0.07","1,200","0","1","0","0","0","1","0","1"
"桃園縣","0","1","0","0","1","0","0.5754","0","0","0.5754","0.08","8,000","8,000","0","1","0","0","1","0","1"
"花蓮縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","12","0","50","62","0","7.7787","0","24.0900","31.8687","4.22","384,100","38,000","0","4","0","27","31","0","31"
"澎湖縣","1","0","0","0","1","0.2064","0","0","0","0.2064","0.03","200","0","1","0","0","0","1","0","1"
"南投縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"預定收獲統計(經營型態=成魚養成)"
"預定收獲月份","魚塭口數","魚塭面積(公頃)","在池放養量(尾、粒、隻)","新放養量(尾、粒、隻)","預定收獲重量(公噸)"
"今年3月","0","0","0","0","0"
"今年4月","0","0","0","0","0"
"今年5月","1","0.6724","7,000","0","4"
"今年6月","0","0","0","0","0"
"今年7月","1","0.7044","4,000","0","7"
"今年8月","0","0","0","0","0"
"今年9月","0","0","0","0","0"
"今年10月","5","3.4268","5,500","25,000","27"
"今年11月","109","58.2903","447,300","1,696,500","616"
"今年12月","501","232.1399","1,762,300","594,550","1,693"
"明年1月","3","1.1944","9,200","0","12"
"明年2月","19","10.8128","49,000","66,500","110"
"明年3月","11","6.1291","104,000","21,000","36"
"水源別統計"
"所屬縣市","魚塭口數",,,"魚塭面積(公頃)",,,"在池放養量(尾、粒、隻)",,,"新放養量(尾、粒、隻)",,,"預定收獲重量(公噸)"
,"無填寫","淡水","鹹水","無填寫","淡水","鹹水","無填寫","淡水","鹹水","無填寫","淡水","鹹水","無填寫","淡水","鹹水"
"總　計","56","593","1,066","20.8990","257.8724","476.8703","113,500","1,605,100","3,988,300","192,800","1,277,150","3,080,400","69","1,819","2,207"
"臺南市","34","39","221","12.6939","20.7854","139.7823","77,000","72,000","1,192,000","110,000","120,400","2,437,600","53","96","325"
"屏東縣","4","0","33","1.4713","0","13.3088","9,000","0","222,600","0","0","50,000","0","0","0"
"雲林縣","11","14","544","3.8512","7.7444","199.4106","14,500","48,700","1,234,100","39,000","6,000","423,600","0","0","466"
"嘉義縣","0","495","78","0","213.5884","40.4527","0","1,281,300","374,500","0","1,074,450","60,200","0","1,492","313"
"彰化縣","0","0","91","0","0","31.8418","0","0","359,700","0","0","3,000","0","0","0"
"高雄市","6","37","43","2.3072","11.4680","23.7471","5,000","169,600","253,400","35,800","76,300","68,000","16","154","224"
"宜蘭縣","0","0","1","0","0","0.5381","0","0","1,200","0","0","0","0","0","3"
"桃園縣","1","0","0","0.5754","0","0","8,000","0","0","8,000","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","8","54","0","4.2862","27.5825","0","33,500","350,600","0","0","38,000","0","77","876"
"澎湖縣","0","0","1","0","0","0.2064","0","0","200","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"經營型態統計─口數、面積(公頃)"
"所屬縣市","無填寫",,"魚苗繁殖",,"種魚繁殖",,"中間養殖",,"成魚養成"
,"魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)"
"總　計","0","0","21","1.9375","0","0","183","65.2597","1,511","688.4445"
"臺南市","0","0","19","1.9255","0","0","8","4.1809","267","167.1552"
"屏東縣","0","0","1","0.0120","0","0","32","13.4065","4","1.3616"
"雲林縣","0","0","0","0","0","0","99","30.6882","470","180.3180"
"嘉義縣","0","0","1","0","0","0","38","13.7305","534","240.3106"
"彰化縣","0","0","0","0","0","0","0","0","91","31.8418"
"高雄市","0","0","0","0","0","0","3","1.3473","83","36.1750"
"宜蘭縣","0","0","0","0","0","0","0","0","1","0.5381"
"桃園縣","0","0","0","0","0","0","0","0","1","0.5754"
"花蓮縣","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","3","1.9063","59","29.9624"
"澎湖縣","0","0","0","0","0","0","0","0","1","0.2064"
"南投縣","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0"
"經營型態統計─放養量(尾、粒、隻)"
"所屬縣市","無填寫",,"魚苗繁殖",,"種魚繁殖",,"中間養殖",,"成魚養成"
,"在池","新放養","在池","新放養","在池","新放養","在池","新放養","在池","新放養"
"總　計","0","0","70,000","33,000","0","0","530,800","698,700","5,106,100","3,818,650"
"臺南市","0","0","0","33,000","0","0","73,000","10,000","1,268,000","2,625,000"
"屏東縣","0","0","0","0","0","0","222,100","50,000","9,500","0"
"雲林縣","0","0","0","0","0","0","166,200","196,500","1,131,100","272,100"
"嘉義縣","0","0","70,000","0","0","0","15,000","422,200","1,570,800","712,450"
"彰化縣","0","0","0","0","0","0","0","0","359,700","3,000"
"高雄市","0","0","0","0","0","0","25,000","20,000","403,000","160,100"
"宜蘭縣","0","0","0","0","0","0","0","0","1,200","0"
"桃園縣","0","0","0","0","0","0","0","0","8,000","8,000"
"花蓮縣","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","29,500","0","354,600","38,000"
"澎湖縣","0","0","0","0","0","0","0","0","200","0"
"南投縣","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0"
