"調查年度",107,"放養面積","363.18(公頃)"
"魚種名稱","龍虎斑","放養數量","58,976,630(尾、粒、隻)"
"所屬縣市","已完成調查魚塭口數",,,,,"魚塭面積(公頃)",,,,,"百分比(%)","放養量",,"養殖戶數",,,,,"養殖戶類別統計"
,"第一類(有水權)","第一類(無水權)","第二類","第三類","小計","第一類(有水權)","第一類(無水權)","第二類","第三類","小計",,"在池（尾、粒、隻）","新放養（尾、粒、隻）","第一類(有水權)","第一類(無水權)","第二類","第三類","小計","魚苗戶","養成戶"
"總　計","1,061","51","0","476","1,588","258.9535","12.7731","0","91.4559","363.1825","100.00","13,522,641","58,976,630","390","16","0","184","573","59","514"
"臺南市","339","9","0","58","406","104.1317","4.0846","0","18.0225","126.2388","34.76","523,340","1,632,769","87","2","0","21","110","24","86"
"屏東縣","224","7","0","251","482","45.7171","0.9111","0","45.8356","92.4638","25.46","7,103,451","5,268,420","102","3","0","101","195","14","181"
"雲林縣","0","5","0","5","10","0","1.1392","0","1.1647","2.3039","0.63","126,210","2,320,000","0","3","0","2","5","1","4"
"嘉義縣","59","30","0","13","102","12.9696","6.6382","0","4.7939","24.4017","6.72","68,500","16,865,000","15","8","0","5","26","7","19"
"彰化縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"高雄市","415","0","0","95","510","92.8467","0","0","12.0154","104.8621","28.87","5,401,040","25,428,290","175","0","0","41","212","12","200"
"宜蘭縣","12","0","0","46","58","1.8318","0","0","6.3480","8.1798","2.25","281,600","334,501","4","0","0","12","16","0","16"
"桃園市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","1","1","0","0","0","0.5967","0.5967","0.16","0","40,000","0","0","0","1","1","0","1"
"澎湖縣","12","0","0","0","12","1.4566","0","0","0","1.4566","0.40","18,500","87,650","7","0","0","0","7","0","7"
"南投縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","7","7","0","0","0","2.6791","2.6791","0.74","0","7,000,000","0","0","0","1","1","1","0"
"連江縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"預定收獲統計(經營型態=成魚養成)"
"預定收獲月份","魚塭口數","魚塭面積(公頃)","在池放養量(尾、粒、隻)","新放養量(尾、粒、隻)","預定收獲重量(公噸)"
"今年3月","0","0","0","0","0"
"今年4月","0","0","0","0","0"
"今年5月","1","0.1514","20,000","0","0"
"今年6月","2","0.5110","46,000","0","4"
"今年7月","4","1.0511","53,600","0","15"
"今年8月","7","3.2364","99,000","0","34"
"今年9月","1","0.2622","0","13,000","12"
"今年10月","12","2.8058","110,800","28,200","37"
"今年11月","28","5.2889","52,000","246,002","36"
"今年12月","80","25.5794","422,630","472,700","107"
"明年1月","12","2.0060","89,000","60,501","42"
"明年2月","24","5.5269","238,000","40,000","115"
"明年3月","11","3.5257","132,000","110,000","107"
"水源別統計"
"所屬縣市","魚塭口數",,,"魚塭面積(公頃)",,,"在池放養量(尾、粒、隻)",,,"新放養量(尾、粒、隻)",,,"預定收獲重量(公噸)"
,"無填寫","淡水","鹹水","無填寫","淡水","鹹水","無填寫","淡水","鹹水","無填寫","淡水","鹹水","無填寫","淡水","鹹水"
"總　計","433","7","1,148","72.6182","1.1239","289.4404","5,591,720","155,074","7,775,847","31,182,178","30,000","27,764,452","57","36","569"
"臺南市","18","5","383","4.5724","0.6358","121.0306","4,140","61,900","457,300","320,020","30,000","1,282,749","0","36","0"
"屏東縣","241","2","239","46.8513","0.4881","45.1244","3,801,950","93,174","3,208,327","2,350,008","0","2,918,412","0","0","0"
"雲林縣","0","0","10","0","0","2.3039","0","0","126,210","0","0","2,320,000","0","0","0"
"嘉義縣","0","0","102","0","0","24.4017","0","0","68,500","0","0","16,865,000","0","0","63"
"彰化縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"高雄市","165","0","345","17.9187","0","86.9434","1,785,630","0","3,615,410","21,472,000","0","3,956,290","57","0","302"
"宜蘭縣","0","0","58","0","0","8.1798","0","0","281,600","0","0","334,501","0","0","185"
"桃園市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹縣","1","0","0","0.5967","0","0","0","0","0","40,000","0","0","0","0","0"
"澎湖縣","1","0","11","0","0","1.4566","0","0","18,500","150","0","87,500","0","0","19"
"南投縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"金門縣","7","0","0","2.6791","0","0","0","0","0","7,000,000","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"經營型態統計─口數、面積(公頃)"
"所屬縣市","無填寫",,"魚苗繁殖",,"種魚繁殖",,"中間養殖",,"成魚養成"
,"魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)"
"總　計","0","0","179","35.5212","14","1.2227","228","29.8892","1,167","296.5494"
"臺南市","0","0","84","21.2901","0","0","44","11.0225","278","93.9262"
"屏東縣","0","0","40","2.4814","8","0.3960","15","1.5656","419","88.0208"
"雲林縣","0","0","1","0.1131","0","0","2","0.4277","7","1.7631"
"嘉義縣","0","0","27","5.9739","6","0.8267","58","12.9462","11","4.6549"
"彰化縣","0","0","0","0","0","0","0","0","0","0"
"高雄市","0","0","20","2.9836","0","0","96","2.2942","394","99.5843"
"宜蘭縣","0","0","0","0","0","0","7","0.7926","51","7.3872"
"桃園市","0","0","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0","1","0.5967"
"澎湖縣","0","0","0","0","0","0","6","0.8404","6","0.6162"
"南投縣","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","7","2.6791","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0"
"經營型態統計─放養量(尾、粒、隻)"
"所屬縣市","無填寫",,"魚苗繁殖",,"種魚繁殖",,"中間養殖",,"成魚養成"
,"在池","新放養","在池","新放養","在池","新放養","在池","新放養","在池","新放養"
"總　計","0","0","1,845,000","31,270,177","1,897","60,000","393,500","19,778,153","11,282,244","7,868,300"
"臺南市","0","0","0","158","0","0","0","645,003","523,340","987,608"
"屏東縣","0","0","0","1,170,019","1,897","0","65,000","605,000","7,036,554","3,493,401"
"雲林縣","0","0","0","300,000","0","0","120,000","2,000,000","6,210","20,000"
"嘉義縣","0","0","0","13,400,000","0","60,000","38,500","3,325,000","30,000","80,000"
"彰化縣","0","0","0","0","0","0","0","0","0","0"
"高雄市","0","0","1,845,000","9,400,000","0","0","150,000","12,950,000","3,406,040","3,078,290"
"宜蘭縣","0","0","0","0","0","0","20,000","167,000","261,600","167,501"
"桃園市","0","0","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0","0","40,000"
"澎湖縣","0","0","0","0","0","0","0","86,150","18,500","1,500"
"南投縣","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","7,000,000","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0"
